column,label,confidence,reason
session_title,AI,0.8,"The column 'session_title' contains multiple entries explicitly mentioning AI or AI-related concepts, such as 'How to get data out of complex documents using AI' and 'AI concepts you should know', indicating a significant AI-related context."
speakers,AI,0.8,"The column name 'speakers' combined with sample values that appear to be unique identifiers (likely speaker IDs) suggests this data is related to speaker recognition or speaker diarization tasks, which are common in AI fields such as speech processing and voice biometrics."
tracks,AI,0.8,"The column contains values explicitly mentioning 'AI' and 'Tools & Tech', which are directly related to AI topics. Other values are more general but the presence of 'AI' in multiple entries indicates AI relevance."
description,AI,0.7,"The column contains descriptions of sessions, one of which explicitly discusses AI, Machine Learning, and Deep Learning, explaining key AI terms and tools. While not all entries are AI-related, the presence of AI-focused content in the sample values indicates the column is at least partially AI-related."
start_time,NOT_AI,0.95,"The column 'start_time' contains timestamp values indicating specific times or dates, which are general data types not inherently related to AI concepts or AI-specific data."
end_time,NOT_AI,0.95,"The column 'end_time' contains timestamp values indicating specific times or dates, which are general data types used in many contexts and do not specifically relate to AI concepts or AI-generated data."
room,NOT_AI,0.95,"The column 'room' contains values that appear to be room identifiers or names, which are related to physical locations rather than AI concepts or data."
session_id,NOT_AI,0.9,"The column name 'session_id' and its numeric sample values indicate it is an identifier for sessions, which is a general data attribute and not specifically related to AI."
canceled,NOT_AI,0.9,"The column name 'canceled' and its boolean sample values indicate it likely represents a cancellation status, which is not inherently related to AI concepts or data."
session_type,NOT_AI,0.9,"The column 'session_type' contains values related to types of sessions or events such as 'Demo', 'Panel', 'Master Class', and 'Hands-on', which are general terms and do not specifically indicate AI-related content."
recorded,NOT_AI,0.9,"The column name 'recorded' and boolean sample values indicate a general status or flag, which is not specifically related to AI concepts or data."
skill_level,NOT_AI,0.9,The column 'skill_level' contains general proficiency levels such as 'Beginner' and 'Intermediate' without any specific reference to AI or AI-related skills.
sponsored_by,NOT_AI,0.9,"The column name 'sponsored_by' and sample value 'ProPublica' indicate sponsorship or funding source, which is not inherently related to AI."
cost,NOT_AI,0.9,"The column name 'cost' and its numeric values represent monetary amounts or prices, which are not inherently related to AI concepts or data."
